류,번호,표제,품명
51,5101,카드·코움하지않은 양모,양모[카드(card)하지도 코움(comb)하지도 않은 것으로 한정한다]
51,5102,카드·코움하지않은 수모,동물의 부드러운 털이나 거친 털[카드(card)하지도 코움(comb)하지도 않은 것으로 한정한다]
51,5103,양모·수모의 웨이스트,"양모·동물의 부드러운 털이나 거친 털의 웨이스트(waste)[실의 웨이스트(waste)를 포함하며, 가닛스톡(garnetted stock)은 제외한다]"
51,5104,양모·수모의 가아넷스톡,양모·동물의 부드러운 털이나 거친 털의 가닛스톡(garnetted stock)
51,5105,카드·코움한 양모·수모,"양모·동물의 부드러운 털이나 거친 털[카드(card)하거나 코움(comb)한 것으로 한정하며, 코움(comb)한 단편 모양인 양모를 포함한다]"
51,5106,카드한 양모사,카드(card)한 양모사(소매용은 제외한다)
51,5107,코움한 양모사,코움(comb)한 양모사(소매용은 제외한다)
51,5108,섬수모사,"동물의 부드러운 털로 만든 실[카드(card)하거나 코움(comb)한 것으로 한정하며, 소매용은 제외한다]"
51,5109,소매용 양모사·섬수모사,양모사나 동물의 부드러운 털로 만든 실(소매용으로 한정한다)
51,5110,조수모사·마모사,"동물의 거친 털로 만든 실이나 말의 털로 만든 실[짐프한(gimped) 말의 털로 만든 실을 포함하며, 소매용인지에 상관없다]"
51,5111,카드한 양모·섬수모 직물,직물[카드(card)한 양모나 동물의 부드러운 털로 만든 것으로 한정한다]
51,5112,코움한 양모·섬수모 직물,직물[코움(comb)한 양모나 동물의 부드러운 털로 만든 것으로 한정한다]
51,5113,조수모·마모제 직물,직물(동물의 거친 털이나 말의 털의 것으로 한정한다)
52,5201,카드·코움하지않은 면,면[카드(card)하지도 코움(comb)하지도 않은 것으로 한정한다]
52,5202,면웨이스트,면 웨이스트(waste)[실 웨이스트(waste)와 가닛스톡(garnetted stock)을 포함한다]
52,5203,카드·코움한 면,면[카드(card)하거나 코움(comb)한 것으로 한정한다]
52,5204,면 재봉사,면 재봉사(소매용인지에 상관없다)
52,5205,면85%이상의 면사,"면사(면의 함유량이 전 중량의 100분의 85 이상인 것으로 한정하며, 재봉사와 소매용은 제외한다)"
52,5206,면85%미만의 면사,"면사(면의 함유량이 전 중량의 100분의 85 미만인 것으로 한정하며, 재봉사와 소매용은 제외한다)"
52,5207,소매용 면사,면사(재봉사는 제외하며 소매용으로 한정한다)
52,5208,면85%이상·200g/㎡이하,면직물(면의 함유량이 전 중량의 100분의 85 이상인 것으로서 1제곱미터당 중량이 200그램 이하인 것으로 한정한다)
52,5209,면85%이상·200g/㎡초과,면직물(면의 함유량이 전 중량의 100분의 85 이상인 것으로서 1제곱미터당 중량이 200그램을 초과하는 것으로 한정한다)
52,5210,면85%미만·200g/㎡이하,면직물(면의 함유량이 전 중량의 100분의 85 미만이고 주로 인조섬유와 혼방한 것으로서 1제곱미터당 중량이 200그램 이하인 것으로 한정한다)
52,5211,면85%미만·200g/㎡초과,면직물(면의 함유량이 전 중량의 100분의 85 미만이고 주로 인조섬유와 혼방한 것으로서 1제곱미터당 중량이 200그램을 초과하는 것으로 한정한다)
52,5212,기타 면직물,그 밖의 면직물
53,5301,아마,"아마(생것이거나 가공은 하였으나 방적하지 않은 것으로 한정한다), 아마의 토우(tow)와 웨이스트(waste)[실의 웨이스트(waste)와 가닛스톡(garnetted stock)을 포함한다]"
53,5302,대마,"대마(생것이거나 가공은 하였으나 방적하지 않은 것으로 한정한다), 대마의 토우(tow)와 웨이스트(waste)[실의 웨이스트(waste)와 가닛스톡(garnetted stock)을 포함한다]"
53,5303,황마,"황마와 그 밖의 방직용 인피(靭皮)섬유[아마·대마·라미(ramie)는 제외하며, 생것이거나 가공은 하였으나 방적하지 않은 것으로 한정한다], 이들 섬유의 토우(tow)와 웨이스트(waste)[실의 웨이스트(waste)와 가닛스톡(garnetted stock)을 포함한다]"
53,5305,기타 식물성섬유,"코코넛·아바카(마닐라마)·라미(ramie)와 그 밖의 식물성 방직용 섬유(따로 분류되지 않은 것으로 한정하며, 생것이거나 가공은 하였으나 방적하지 않은 것으로 한정한다), 이들의 토우(tow)·노일(noil)·웨이스트(waste)[실의 웨이스트(waste)와 가닛스톡(garnetted stock)을 포함한다]"
53,5306,아마사,아마사
53,5307,황마사,제5303호의 황마나 그 밖의 방직용 인피(靭皮)섬유사
53,5308,기타 식물성섬유사,그 밖의 식물성 섬유사와 종이실(paper yarn)
53,5309,아마직물,아마직물
53,5310,황마직물,제5303호의 황마나 그 밖의 방직용 인피(靭皮)섬유의 직물
53,5311,기타 식물성직물,그 밖의 식물성 방직용 섬유의 직물과 종이실(paper yarn)의 직물
54,5401,재봉사,인조필라멘트의 재봉사(소매용인지에 상관없다)
54,5402,합성필라멘트사,"합성필라멘트사(재봉사와 소매용은 제외하며, 67데시텍스 미만인 합성모노필라멘트를 포함한다)"
54,5403,재생·반합성필라멘트사,"재생·반(半)합성 필라멘트사[재봉사와 소매용은 제외하며, 67데시텍스 미만인 재생·반(半)합성 모노필라멘트를 포함한다]"
54,5404,합성모노필라멘트,"합성모노필라멘트(67데시텍스 이상인 것으로서 횡단면의 치수가 1밀리미터 이하인 것으로 한정한다), 방직용 합성섬유재료의 스트립(strip)이나 이와 유사한 것[예: 인조스트로(straw)](시폭이 5밀리미터 이하인 것으로 한정한다)"
54,5405,재생·반합성모노필라멘트,"재생·반(半)합성 모노필라멘트(67데시텍스 이상인 것으로서 횡단면의 치수가 1밀리미터 이하인 것으로 한정한다), 재생·반(半)합성 방직용 섬유재료의 스트립(strip)이나 이와 유사한 것[예: 인조 스트로(straw)](시폭이 5밀리미터 이하인 것으로 한정한다)"
54,5406,소매용 사,"인조필라멘트사(재봉사는 제외하며, 소매용으로 한정한다)"
54,5407,합성필라멘트 직물,합성필라멘트사의 직물(제5404호 재료로 직조한 직물을 포함한다)
54,5408,재생·반합성필라멘트 직물,재생·반(半)합성 필라멘트사의 직물(제5405호의 재료로 직조한 직물을 포함한다)
55,5501,합성필라멘트토우,합성필라멘트 토우(tow)
55,5502,재생·반합성필라멘트토우,재생·반(半)합성 필라멘트 토우(tow)
55,5503,카드·코움하지 않은 합성스테이플섬유,합성스테이플섬유[카드(card)·코움(comb)이나 그 밖의 방적준비 처리를 한 것은 제외한다]
55,5504,카드·코움하지 않은 재생·반합성스테이플섬유,재생·반(半)합성 스테이플섬유[카드(card)·코움(comb)이나 그 밖의 방적준비 처리를 한 것은 제외한다]
55,5505,인조섬유의 웨이스트,인조섬유의 웨이스트(waste)[노일(noil)·실의 웨이스트·가닛스톡(garnetted stock)을 포함한다]
55,5506,카드·코움한 합성스테이플섬유,합성스테이플섬유[카드(card)·코움(comb)이나 그 밖의 방적준비 처리를 한 것으로 한정한다]
55,5507,카드·코움한 재생·반합성스테이플섬유,재생·반(半)합성 스테이플섬유[카드(card)·코움(comb)이나 그 밖의 방적준비 처리를 한 것으로 한정한다]
55,5508,재봉사,인조스테이플섬유의 재봉사(소매용인지에 상관없다)
55,5509,합성스테이플섬유사,합성스테이플섬유사(재봉사와 소매용은 제외한다)
55,5510,재생·반합성스테이플섬유사,재생·반(半)합성 스테이플섬유사(재봉사와 소매용은 제외한다)
55,5511,소매용 사,"인조스테이플섬유사(재봉사는 제외하며, 소매용으로 한정한다)"
55,5512,합성스테이플섬유직물,합성스테이플섬유의 직물(합성스테이플섬유의 함유량이 전 중량의 100분의 85 이상인 것으로 한정한다)
55,5513,면혼방합성스테이플섬유직물(170g/㎡이하),주로 면과 혼방한 합성스테이플섬유의 직물(합성스테이플섬유의 함유량이 전 중량의 100분의 85 미만인 것으로서 1제곱미터당 중량이 170그램 이하인 것으로 한정한다)
55,5514,면혼방합성스테이플섬유직물(170g/㎡초과),주로 면과 혼방한 합성스테이플섬유의 직물(합성스테이플섬유의 함유량이 전 중량의 100분의 85 미만인 것으로서 1제곱미터당 중량이 170그램을 초과하는 것으로 한정한다)
55,5515,기타합성스테이플섬유직물,합성스테이플섬유의 그 밖의 직물
55,5516,재생·반합성스테이플직물,재생·반(半)합성 스테이플섬유의 직물
56,5601,워딩,"방직용 섬유의 워딩(wadding)과 그 제품, 방직용 섬유로서 길이가 5밀리미터 이하인 것(플록), 방직용 섬유의 더스트(dust)와 밀네프(mill nep)"
56,5602,펠트,펠트(felt)(침투·도포·피복·적층한 것인지에 상관없다)
56,5603,부직포,부직포(침투·도포·피복·적층한 것인지에 상관없다)
56,5604,고무실,"고무실과 고무끈(방직용 섬유로 피복한 것으로 한정한다), 방직용 섬유사·제5404호나 제5405호의 스트립(strip)과 이와 유사한 물품[고무나 플라스틱을 침투·도포·피복하거나 시드한(sheathed) 것으로 한정한다]"
56,5605,금속드리사,"금속드리사(metallised yarn)[짐프한(gimped) 것인지에 상관없으며 방직용 섬유사, 제5404호나 제5405호의 스트립(strip)이나 이와 유사한 것으로서 실·스트립(strip)·가루 모양의 금속과 결합한 것이나 금속을 피복한 것으로 한정한다]"
56,5606,짐프사,"짐프사(gimped yarn)와 제5404호나 제5405호에 열거한 스트립(strip)과 그 밖에 이와 유사한 것[짐프한(gimped) 것으로 한정하며 제5605호의 것과 짐프한(gimped) 말의 털로 만든 실은 제외한다], 셔닐사(chenille yarn)[플록(flock) 모양의 셔닐사(chenille yarn)를 포함한다], 루프웨일사(loop wale-yarn)"
56,5607,끈·로프 및 케이블,"끈·배의 밧줄(cordage)·로프·케이블[엮거나 짠 것인지, 고무나 플라스틱을 침투·도포·피복·시드한(sheathed) 것인지에 상관없다]"
56,5608,그물 제품,"매듭이 있는 그물감[끈·배의 밧줄(cordage)·로프로 만든 것으로 한정한다], 방직용 섬유제품으로 만든 어망, 그 밖의 제품으로 만든 그물"
56,5609,끈·로프 및 케이블의 제품,실·제5404호나 제5405호의 스트립(strip)이나 이와 유사한 것·끈·배의 밧줄(cordage)·로프·케이블의 제품(따로 분류되지 않은 것으로 한정한다)
57,5701,결절한 양탄자와 바닥깔개,"양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개(매듭이 있는 것으로 한정하며, 제품으로 된 것인지에 상관없다)"
57,5702,직조한 양탄자와 바닥깔개,"양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개[직조한 것으로 한정하고, 터프트(tuft)하거나 플록(flock)한 것은 제외하고, 제품으로 된 것인지에 상관없으며 켈렘(kelem)·슈맥(schumack)·카라마니(karamanie)와 이와 유사한 손으로 짠 러그(rug)를 포함한다]"
57,5703,터프트한 양탄자와 바닥깔개,"양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개(인조잔디(turf)를 포함한다)[터프트(tuft)한 것으로 한정하며, 제품으로 된 것인지에 상관없다]"
57,5704,펠트제의 양탄자와 바닥깔개,"양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개[펠트(felt)로 만든 것으로 한정하고, 터프트(tuft)하거나 플록(flock)한 것은 제외하며 제품으로 된 것인지에 상관없다]"
57,5705,기타의 양탄자와 바닥깔개,그 밖의 양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개(제품으로 된 것인지에 상관없다)
58,5801,파일직물·셔닐직물,파일(pile)직물·셔닐(chenille)직물(제5802호나 제5806호에 해당하는 직물은 제외한다)
58,5802,테리타올지,"테리타월지(terry towelling fabric)와 이와 유사한 테리(terry)직물[제5806호에 해당하는 세폭(細幅)직물은 제외한다], 터프트(tuft)한 직물(제5703호에 해당하는 물품은 제외한다)"
58,5803,거즈,거즈[제5806호에 해당하는 세폭(細幅)직물은 제외한다]
58,5804,튜울·레이스,"튈(tulle)과 그 밖의 망직물(제직한 것·메리야스 편물이나 뜨개질 편물은 제외한다), 레이스[원단 상태·스트립(strip)이나 모티프(motif)로 된 것으로 한정하며, 제6002호부터 제6006호까지의 편물은 제외한다]"
58,5805,태피스트리,"고블랭(gobelin)직·플랜더스(flanders)직·오뷔송(aubusson)직·보베(beauvais)직과 이와 유사한 손으로 짠 태피스트리(tapestry), 자수의 태피스트리(tapestry)[예: 프티포인트(petit point)·십자수](제품으로 된 것인지에 상관없다)"
58,5806,세폭직물,세폭(細幅)직물(제5807호에 해당하는 것은 제외한다)과 접착제로 접착한 경사(經絲)만으로 이루어진 세폭(細幅)직물(볼덕)
58,5807,섬유재의 레이블·배지,"방직용 섬유재료로 만든 레이블(label), 배지(badge)와 이와 유사한 물품[원단 상태인 것·스트립(strip) 모양인 것·특정한 모양이나 크기로 절단한 것으로 한정하며, 자수한 것은 제외한다]"
58,5808,브레이드·트리밍,"원단 상태인 브레이드(braid)와 원단 상태인 장식용 트리밍(trimming)(자수가 없는 것으로 한정하며, 메리야스 편물이나 뜨개질 편물은 제외한다), 술·폼퐁(pompon)과 이와 유사한 물품"
58,5809,금속사 직물,"금속사의 직물과 제5605호에 해당하는 금속드리사(metallised yarn)의 직물(의류·실내용품이나 이와 유사한 물품에 사용되는 것으로 한정하며, 따로 분류되는 것은 제외한다)"
58,5810,자수천,자수천[원단 상태인 것·스트립(strip) 모양인 것·모티프(motif)로 된 것으로 한정한다]
58,5811,누비제품,"원단 상태인 방직용 누비제품(바느질이나 그 밖의 방법으로 패딩과 조합한 한 층 이상의 방직용 섬유로 만든 것으로 한정하며, 제5810호의 자수천은 제외한다)"
59,5901,경화가공된 직물,"서적 장정용이나 이와 유사한 용도로 사용하는 방직용 섬유의 직물류로서 검(gum)이나 전분질의 물품을 도포한 것, 투사포(tracing cloth), 회화용 캔버스, 모자 제조에 사용되는 버크럼(buckram)과 이와 유사한 경화가공된 방직용 섬유의 직물"
59,5902,강력사의 타이어코드직물,강력사의 타이어코드(tyre cord)직물[나일론이나 그 밖의 폴리아미드·폴리에스테르·비스코스레이온(viscose rayon)의 것으로 한정한다]
59,5903,플라스틱 피복직물,플라스틱을 침투·도포·피복하거나 적층한 방직용 섬유의 직물류(제5902호에 해당하는 직물류는 제외한다)
59,5904,리놀륨·바닥깔개,리놀륨과 방직용 섬유직물의 뒷면을 도포하거나 피복한 것으로 만든 바닥깔개(특정한 모양으로 절단한 것인지에 상관없다)
59,5905,벽 피복재,방직용 섬유로 만든 벽 피복재
59,5906,고무가공 직물,고무가공을 한 방직용 섬유의 직물류(제5902호에 해당하는 직물류는 제외한다)
59,5907,기타의 피복직물,"그 밖의 방법으로 침투·도포하거나 피복한 방직용 섬유의 직물류, 극장용 배경이나 스튜디오용 배경막이나 이와?유사하게 사용되는 그림이 그려진 캔버스"
59,5908,심지,"램프용·스토브용·라이터용·양초용이나 이와 유사한 용도로 사용하는 방직용 섬유의 심지(직조·편조·편직한 것으로 한정한다), 백열가스 맨틀(mantle)과 백열가스 맨틀(mantle)용 관 모양의 편물(침투시켰는지에 상관없다)"
59,5909,방직용 섬유제의 호스,방직용 섬유로 만든 호스와 이와 유사한 관 모양의 물품(다른 재료를 내장·보강한 것인지 또는 부속품이 있는지에 상관없다)
59,5910,전동용 벨트,"전동(transmission)용·컨베이어용 벨트와 벨팅(belting)(방직용 섬유로 만든 것으로 한정하며, 플라스틱을 침투·도포·피복·적층한 것인지 또는 금속이나 그 밖의 물품으로 보강한 것인지에 상관없다)"
59,5911,공업용 방직용 섬유제품,방직용 섬유제품과 방직용 섬유로 만든 물품(이 류의 주 제8호에 열거된 물품으로 공업용으로 사용되는 것)
60,6001,파일 편물,"파일(pile) 편물[롱파일(long pile) 편물과 테리(terry) 편물을 포함하며, 메리야스 편물이나 뜨개질 편물로 한정한다]"
60,6002,"폭 30cm이하, 탄성사 5%이상",메리야스 편물이나 뜨개질 편물(폭이 30센티미터 이하이며 탄성사나 고무실의 함유중량이 전 중량의 100분의 5 이상인 것으로서 제6001호의 것은 제외한다)
60,6003,폭 30cm이하,메리야스 편물이나 뜨개질 편물(폭이 30센티미터 이하인 것으로서 제6001호나 제6002호의 것은 제외한다)
60,6004,"폭 30cm초과, 탄성사 5%이상",메리야스 편물이나 뜨개질 편물(폭이 30센티미터를 초과하며 탄성사나 고무실의 함유중량이 전 중량의 100분의 5 이상인 것으로서 제6001호의 것은 제외한다)
60,6005,경편직 편물류,"경(經)편직 편물류[거룬(galloon) 편직기로 제조한 것을 포함하며, 제6001호부터 제6004호까지의 것은 제외한다]"
60,6006,기타 편물,그 밖의 메리야스 편물이나 뜨개질 편물
61,6101,남성용 방한용 외투,"남성용이나 소년용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아노락(anorak)(스키재킷을 포함한다)·윈드치터(wind-cheater)·윈드재킷(wind-jacket)과 이와 유사한 의류(메리야스 편물과 뜨개질 편물로 한정하며, 제6103호의 것은 제외한다)"
61,6102,여성용 방한용 외투,"여성용이나 소녀용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아노락(anorak)(스키재킷을 포함한다)·윈드치터(wind-cheater)·윈드재킷(wind-jacket)과 이와 유사한 의류(메리야스 편물과 뜨개질 편물로 한정하며, 제6104호의 것은 제외한다)"
61,6103,남성용 슈트·바지,"남성용이나 소년용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·긴 바지·가슴받이와 멜빵이 있는 바지·짧은 바지(breeches)·반바지(shorts)(메리야스 편물이나 뜨개질 편물로 한정하며, 수영복은 제외한다)"
61,6104,여성용 슈트·바지,"여성용이나 소녀용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·드레스·스커트·치마바지·긴 바지·가슴받이와 멜빵이 있는 바지·짧은 바지(breeches)·반바지(shorts)(메리야스 편물이나 뜨개질 편물로 한정하며, 수영복은 제외한다)"
61,6105,남성용 셔츠,남성용이나 소년용 셔츠(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6106,여성용 브라우스,여성용이나 소녀용 블라우스·셔츠·셔츠블라우스(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6107,남성용 내의류,남성용이나 소년용 언더팬츠·브리프(briefs)·나이트셔츠·파자마·목욕용 가운·드레싱가운과 이와 유사한 물품(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6108,여성용 내의류,여성용이나 소녀용 슬립·페티코트(petticoat)·브리프(briefs)·팬티·나이트드레스·파자마·네그리제(negligee)·목욕용 가운·드레싱가운과 이와 유사한 의류(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6109,티셔츠,티셔츠·싱글리트(singlet)와 그 밖의 조끼(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6110,저지·풀오버·카디건,저지(jersey)·풀오버(pullover)·카디건(cardigan)·웨이스트코트(waistcoat)와 이와 유사한 의류(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6111,유아용 의류,유아용 의류와 그 부속품(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6112,트랙슈트·수영복,트랙슈트·스키슈트·수영복(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6113,침투·도포한 편물제의류,의류(제5903호·제5906호·제5907호에 해당하는 메리야스 편물이나 뜨개질 편물로 한정한다)
61,6114,기타의류,그 밖의 의류(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6115,양말류,"팬티호스(panty hose)·타이츠(tights)·스타킹과 그 밖의 양말류[단계압박 양말류(예: 정맥류 치료용 스타킹)와 바닥을 대지 않은 신발류를 포함하며, 메리야스 편물이나 뜨개질 편물로 한정한다]"
61,6116,장갑류,장갑류(메리야스 편물이나 뜨개질 편물로 한정한다)
61,6117,의류부속품과 부분품,그 밖의 메리야스 편물이나 뜨개질 편물로 만든 의류부속품과 의류·의류부속품의 부분품
62,6201,남성용 방한용 외투,남성용이나 소년용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아노락(anorak)(스키재킷을 포함한다)·윈드치터(wind-cheater)·윈드재킷(wind-jacket)과 이와 유사한 의류(제6203호의 것은 제외한다)
62,6202,여성용 방한용 외투,여성용이나 소녀용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아노락(anorak)(스키재킷을 포함한다)·윈드치터(wind-cheater)·윈드재킷(wind-jacket)과 이와 유사한 의류(제6204호의 것은 제외한다)
62,6203,남성용 슈트·바지,남성용이나 소년용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·긴 바지·가슴받이와 멜빵이 있는 바지·짧은 바지(breeches)·반바지(shorts)(수영복은 제외한다)
62,6204,여성용 슈트·바지,여성용이나 소녀용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·드레스·스커트·치마바지·긴 바지·가슴받이와 멜빵이 있는 바지·짧은 바지(breeches)·반바지(shorts)(수영복은 제외한다)
62,6205,남성용 셔츠,남성용이나 소년용 셔츠
62,6206,여성용 브라우스,여성용이나 소녀용 블라우스·셔츠·셔츠블라우스
62,6207,남성용 속옷,남성용이나 소년용 싱글리트(singlet)와 그 밖의 조끼·언더팬츠·브리프(briefs)·나이트셔츠·파자마·목욕용 가운·드레싱가운과 이와 유사한 물품
62,6208,여성용 속옷,여성용이나 소녀용 싱글리트(singlet)와 그 밖의 조끼·슬립·페티코트(petticoat)·브리프(briefs)·팬티·나이트드레스·파자마·네그리제(negligee)·목욕용 가운·드레싱가운과 이와 유사한 의류
62,6209,유아용 의류,유아용 의류와 그 부속품
62,6210,펠트제·침투·도포한 의류,의류(제5602호·제5603호·제5903호·제5906호·제5907호의 직물류의 제품으로 한정한다)
62,6211,트랙슈트 및 기타의류,트랙슈트·스키슈트·수영복과 그 밖의 의류
62,6212,브래지어·거들·콜셋,"브래지어·거들·코르셋(corset)·브레이스(braces)·서스펜더(suspender)·가터(garter)와 이와 유사한 제품, 이들의 부분품(메리야스 편물이나 뜨개질 편물로 만든 것인지에 상관없다)"
62,6213,손수건,손수건
62,6214,쇼올·스카프·머플러,숄(shawl)·스카프·머플러·만틸라(mantilla)·베일(veil)과 이와 유사한 물품
62,6215,넥타이류,넥타이류
62,6216,장갑류,장갑류
62,6217,의류부속품 및 부분품,"그 밖의 제품으로 된 의류부속품, 의류·의류부속품의 부분품(제6212호에 해당하는 것은 제외한다)"
63,제1절 제품으로 된 방직용 섬유의 그 밖의 물품,,
63,6301,모포류,모포류와 여행용 러그(rug)
63,6302,린넨제품,베드린넨(bed linen)·테이블린넨(table linen)·토일렛린넨(toilet linen)·주방린넨(kitchen linen)
63,6303,커튼,"커튼[드레이프(drape)를 포함한다]·실내용 블라인드(blind), 커튼이나 침대용 밸런스(valance)"
63,6304,기타 실내용품,그 밖의 실내용품(제9404호의 물품은 제외한다)
63,6305,포장용의 빈 포대,포장용 빈 포대
63,6306,캠프용품,"방수포(tarpaulin)·천막·차양, 텐트(임시 캐노피와 이와 유사한 물품을 포함한다), 돛[보트용·세일보드(sailboard)용·랜드크래프트(landcraft)용], 캠프용품"
63,6307,기타의 제품,그 밖의 제품[드레스패턴(dress pattern)을 포함한다]
63,제2절 세트,,
63,6308,자수용 세트,"러그(rug)용·태피스트리(tapestry)용·자수한 테이블보용·서비에트(serviette)용 직물이나 실로 구성된 세트(부속품이 있는지에 상관없다), 이와 유사한 방직용 섬유제품을 제조하기 위한 것으로서 소매용으로 포장한 것"
63,"제3절 사용하던 의류·방직용 섬유제품, 넝마",,
63,6309,구제의류,사용하던 의류와 그 밖의 사용하던 물품
63,6310,넝마·스크랩,"넝마(사용하던 것이나 신품으로 한정한다), 끈·배의 밧줄(cordage)·로프·케이블의 스크랩(scrap), 끈·배의 밧줄(cordage)·로프·케이블 제품의 폐품(방직용 섬유로 만든 것으로 한정한다)"
64,6401,고무·플라스틱제 방수신발,"방수 신발류[바깥 바닥과 갑피(甲皮)를 고무나 플라스틱으로 만든 것으로 한정하며, 갑피(甲皮)를 바닥에 스티칭(stitching)·리베팅(riveting)·네일링(nailing)·스크루잉(screwing)·플러깅(plugging)이나 이와 유사한 방법으로 부착하거나 조립한 것은 제외한다]"
64,6402,고무·플라스틱제 기타신발,그 밖의 신발류[바깥 바닥과 갑피(甲皮)를 고무나 플라스틱으로 만든 것으로 한정한다]
64,6403,가죽제 갑피의 신발,"신발류[바깥 바닥을 고무·플라스틱·가죽·콤퍼지션 레더(composition leather)로 만들고, 갑피(甲皮)를 가죽으로 만든 것으로 한정한다]"
64,6404,방직용섬유제 갑피의 신발,"신발류[바깥 바닥을 고무·플라스틱·가죽·콤퍼지션 레더(composition leather)로 만들고, 갑피(甲皮)를 방직용 섬유재료로 만든 것으로 한정한다]"
64,6405,기타 신발,그 밖의 신발류
64,6406,부분품,"신발류 부분품[갑피(甲皮)(바깥 바닥을 제외한 바닥에 부착한 것인지에 상관없다)를 포함한다], 갈아 끼울 수 있는 안창과 힐쿠션(heel cushion)이나 이와 유사한 물품, 각반·레깅스나 이와 유사한 물품과 이들의 부분품"
65,6501,펠트제 모체,"모체(hat-form)[펠트(felt)로 만든 성형하지 않은 것으로서 차양을 붙이지 않은 것으로 한정한다], 펠트(felt)로 만든 플래토우(plateaux)와 망숑(manchon)[슬릿망숑(slit manchon)을 포함한다]"
65,6502,조물재료의 모체,"모체(hat-shape)[각종 재료로 만든 스트립(strip)을 엮거나 결합하여 만든 것으로서 미성형인 것, 차양을 붙이지 않은 것, 안을 대지 않거나 장식하지 않은 것으로 한정한다]"
65,6504,조물재료의 모자,"모자[각종 재료로 만든 스트립(strip)을 엮거나 결합하여 만든 것으로 한정하며, 안을 댄 것인지 또는 장식한 것인지에 상관없다]"
65,6505,방직용 섬유제의 모자,"모자[메리야스 편물이나 뜨개질 편물의 것과 원단 상태(스트립 모양은 제외한다)인 레이스·펠트(felt)나 그 밖의 방직용 섬유의 직물류로 만든 것으로 한정하며, 안을 댄 것인지 또는 장식한 것인지에 상관없다], 각종 재료로 만든 헤어네트(hair-net)(안을 대거나 장식한 것인지에 상관없다)"
65,6506,기타의 모자,그 밖의 모자(안을 댄 것인지 또는 장식한 것인지에 상관없다)
65,6507,모자 부속품,헤드밴드·내장재·커버·모자의 파운데이션(foundation)·모자의 프레임(frame)·챙·턱끈
66,6601,우산,산류(傘類)[지팡이 겸용 우산·정원용 산류(傘類)와 이와 유사한 산류(傘類)를 포함한다]
66,6602,지팡이,지팡이·시트스틱(seat-stick)·채찍·승마용 채찍과 이와 유사한 물품
66,6603,부분품과 부속품,제6601호나 제6602호의 물품의 부분품·트리밍(trimming)·부속품
67,6701,우모,새의 깃털이나 솜털이 붙은 가죽과 그 밖의 부분·깃털과 그 부분·솜털과 이들의 제품[제0505호의 물품과 가공한 깃대(scape)·깃촉(quill)은 제외한다]
67,6702,조화,"인조 꽃·잎·과실과 이들의 부분품, 인조 꽃·잎·과실로 만든 제품"
67,6703,인모,"사람 머리카락(정돈·표백이나 그 밖의 가공을 한 것으로 한정한다), 가발이나 이와 유사한 것을 제조하기 위한 양모나 그 밖의 동물의 털이나 그 밖의 방직용 섬유재료"
67,6704,가발,"가발·가수염·눈썹·속눈썹·스위치와 이와 유사한 것(사람 머리카락·동물의 털·방직용 섬유재료로 만든 것으로 한정한다), 사람 머리카락으로 된 제품(따로 분류되지 않은 것으로 한정한다)"
68,6801,포석·연석 및 판석,"포석·연석·판석[천연 석재로 한정하며, 슬레이트(slate)는 제외한다]"
68,6802,비석·건축용의 석재,"가공한 석비용·건축용 석재[슬레이트(slate)는 제외한다]와 이들의 제품(제6801호의 물품은 제외한다), 모자이크 큐브와 이와 유사한 것[천연 석재의 것으로서 슬레이트(slate) 제품을 포함하며, 뒷면을 보강한 것인지에 상관없다], 인공적으로 착색한 천연 석재[슬레이트(slate)를 포함한다]의 알갱이·조각·가루"
68,6803,슬레이트 제품,"가공한 슬레이트(slate)와 슬레이트(slate) 제품, 응결 슬레이트(slate)의 제품"
